stage,mode,optimize,smooth,angle_step,smoothing,sensitivity,fps,scenario,seed,first_arrival_ms,settle_ms,rms_error_deg,overshoot_yaw_deg,overshoot_pitch_deg,max_yaw_speed_deg_s,max_pitch_speed_deg_s,max_yaw_acceleration_deg_s2,max_pitch_acceleration_deg_s2,max_yaw_jerk_deg_s3,max_pitch_jerk_deg_s3,p95_yaw_acceleration_deg_s2,p95_pitch_acceleration_deg_s2
frame+packet,Lock,false,0.05,90,0.00,0.50,60,diagonal,20260920,450.000,450.000,9.150292,0.000000,6.900005,843.000031,255.000000,13500.000000,1740.000534,332400.024414,38400.024414,780.001831,1619.999695
frame+packet,Lock,false,0.05,90,0.00,0.50,60,diagonal,20260921,400.000,400.000,8.984408,0.000000,6.150002,843.000031,276.000023,13500.000000,1920.000458,324000.000000,69599.975586,360.000610,1740.000916
frame+packet,Lock,false,0.05,90,0.00,0.50,60,diagonal,20260922,400.000,400.000,8.756085,0.000000,6.600002,843.000031,309.000015,13500.000000,2100.000000,315600.036621,74400.009155,300.000000,1739.999390
frame+packet,Lock,false,0.05,90,0.00,0.50,60,reverse,20260915,-1.000,-1.000,29.890139,-1.000000,-1.000000,960.000000,423.000031,13500.000000,1920.000076,313200.012207,66000.030518,7200.000000,1860.000229
frame+packet,Lock,false,0.05,90,0.00,0.50,60,reverse,20260916,-1.000,-1.000,29.816330,-1.000000,-1.000000,960.000000,405.000000,13500.000000,1980.000305,319200.012207,52800.010681,7200.000000,1859.999084
frame+packet,Lock,false,0.05,90,0.00,0.50,60,reverse,20260917,-1.000,-1.000,29.902694,-1.000000,-1.000000,960.000000,390.000000,13500.000000,1920.000076,327600.036621,62399.993896,7200.000000,1860.000610
frame+packet,Lock,false,0.05,90,0.00,0.50,60,reverse,20260918,-1.000,-1.000,30.144841,-1.000000,-1.000000,960.000000,411.000023,13500.000000,2280.000114,319200.012207,79200.042725,7200.000000,1859.999084
frame+packet,Lock,false,0.05,90,0.00,0.50,60,reverse,20260919,-1.000,-1.000,30.093651,-1.000000,-1.000000,960.000000,408.000031,13500.000000,1919.999695,330000.000000,63600.006104,8760.000610,1800.000000
frame+packet,Lock,false,0.05,90,0.00,0.50,60,reverse,20260920,-1.000,-1.000,30.462527,-1.000000,-1.000000,960.000000,417.000008,13500.000000,1859.999847,332400.024414,72000.000000,7200.000000,1680.000305
frame+packet,Lock,false,0.05,90,0.00,0.50,60,reverse,20260921,-1.000,-1.000,30.011641,-1.000000,-1.000000,960.000000,420.000000,13500.000000,1920.000458,324000.000000,69599.975586,7200.000000,1800.000763
frame+packet,Lock,false,0.05,90,0.00,0.50,60,reverse,20260922,-1.000,-1.000,29.891494,-1.000000,-1.000000,960.000076,420.000000,13500.000000,2100.000000,315600.036621,74400.009155,7200.000000,1920.000458
frame+packet,Lock,false,0.05,90,0.00,0.50,60,moving,20260915,-1.000,-1.000,4.421361,-1.000000,-1.000000,144.000006,60.000010,1320.000076,540.000010,26400.001526,10800.000191,360.000610,120.000458
frame+packet,Lock,false,0.05,90,0.00,0.50,60,moving,20260916,-1.000,-1.000,4.421361,-1.000000,-1.000000,144.000006,60.000010,1320.000076,540.000010,26400.001526,10800.000191,360.000610,120.000458
frame+packet,Lock,false,0.05,90,0.00,0.50,60,moving,20260917,-1.000,-1.000,4.421361,-1.000000,-1.000000,144.000006,60.000010,1320.000076,540.000010,26400.001526,10800.000191,360.000610,120.000458
frame+packet,Lock,false,0.05,90,0.00,0.50,60,moving,20260918,-1.000,-1.000,4.421361,-1.000000,-1.000000,144.000006,60.000010,1320.000076,540.000010,26400.001526,10800.000191,360.000610,120.000458
frame+packet,Lock,false,0.05,90,0.00,0.50,60,moving,20260919,-1.000,-1.000,4.421361,-1.000000,-1.000000,144.000006,60.000010,1320.000076,540.000010,26400.001526,10800.000191,360.000610,120.000458
frame+packet,Lock,false,0.05,90,0.00,0.50,60,moving,20260920,-1.000,-1.000,4.421361,-1.000000,-1.000000,144.000006,60.000010,1320.000076,540.000010,26400.001526,10800.000191,360.000610,120.000458
frame+packet,Lock,false,0.05,90,0.00,0.50,60,moving,20260921,-1.000,-1.000,4.421361,-1.000000,-1.000000,144.000006,60.000010,1320.000076,540.000010,26400.001526,10800.000191,360.000610,120.000458
frame+packet,Lock,false,0.05,90,0.00,0.50,60,moving,20260922,-1.000,-1.000,4.421361,-1.000000,-1.000000,144.000006,60.000010,1320.000076,540.000010,26400.001526,10800.000191,360.000610,120.000458
frame+packet,Lock,false,0.05,90,0.00,0.50,60,wrap,20260915,50.000,50.000,0.104576,0.000000,0.000000,23.999939,0.000000,479.998779,0.000000,14399.902344,0.000000,0.000000,0.000000
frame+packet,Lock,false,0.05,90,0.00,0.50,60,wrap,20260916,50.000,50.000,0.104576,0.000000,0.000000,23.999939,0.000000,479.998779,0.000000,14399.902344,0.000000,0.000000,0.000000
frame+packet,Lock,false,0.05,90,0.00,0.50,60,wrap,20260917,50.000,50.000,0.104576,0.000000,0.000000,23.999939,0.000000,479.998779,0.000000,14399.902344,0.000000,0.000000,0.000000
frame+packet,Lock,false,0.05,90,0.00,0.50,60,wrap,20260918,50.000,50.000,0.104576,0.000000,0.000000,23.999939,0.000000,479.998779,0.000000,14399.902344,0.000000,0.000000,0.000000
frame+packet,Lock,false,0.05,90,0.00,0.50,60,wrap,20260919,50.000,50.000,0.104576,0.000000,0.000000,23.999939,0.000000,479.998779,0.000000,14399.902344,0.000000,0.000000,0.000000
frame+packet,Lock,false,0.05,90,0.00,0.50,60,wrap,20260920,50.000,50.000,0.104576,0.000000,0.000000,23.999939,0.000000,479.998779,0.000000,14399.902344,0.000000,0.000000,0.000000
frame+packet,Lock,false,0.05,90,0.00,0.50,60,wrap,20260921,50.000,50.000,0.104576,0.000000,0.000000,23.999939,0.000000,479.998779,0.000000,14399.902344,0.000000,0.000000,0.000000
frame+packet,Lock,false,0.05,90,0.00,0.50,60,wrap,20260922,50.000,50.000,0.104576,0.000000,0.000000,23.999939,0.000000,479.998779,0.000000,14399.902344,0.000000,0.000000,0.000000
frame+packet,Lock,false,0.05,90,0.00,0.50,60,overlap,20260915,300.000,300.000,16.994315,0.000000,0.000000,960.000076,0.000000,13440.000916,0.000000,268800.018311,0.000000,1140.002441,0.000000
